guid,ttp
d9841bf8-f161-4c73-81e9-fd773a5ff8c1,T1562.004
19c07a45-452d-4620-90ed-4c34fffbe758,T1562.006
69fc085b-5444-4879-8002-b24c8e1a3e02,T1562.006
8a4c33be-a0d3-434a-bee6-315405edbd5b,T1562.006
f6df0b8e-2c83-44c7-ba5e-0fa4386bec41,T1562.006
a37ac520-b911-458e-8aed-c5f1576d9f46,T1563.002
2ec63cc2-4975-41a6-bf09-dffdfb610778,T1564
5bb20389-39a5-4e99-9264-aeb92a55a85c,T1564
f650456b-bd49-4bc1-ae9d-271b5b9581e7,T1564.001
173126b7-afe4-45eb-8680-fa9f6400431c,T1564.002
f151ee37-9e2b-47e6-80e4-550b9f999b7a,T1564.003
17e7637a-ddaf-4a82-8622-377e20de8fdb,T1564.004
2ab75061-f5d5-4c1a-b666-ba2a50df5b02,T1564.004
2382dee2-a75f-49aa-9378-f52df6ed3fb1,T1569.002
21fe622f-8e53-4b31-ba83-6d333c2583f4,T1571
0c5f9705-c575-42a6-9609-cbbff4b2fc9b,T1572
748a73d5-cea4-4f34-84d8-839da5baa99c,T1572
ae9ef4b0-d8c1-49d4-8758-06206f19af0a,T1572
21caf58e-87ad-440c-a6b8-3ac259964003,T1573
8549ad4b-b5df-4a2d-a3d7-2aee9e7052a3,T1574.001
1561de08-0b4b-498e-8261-e922f3494aae,T1574.008
f7536d63-7fd4-466f-89da-7e48d550752a,T1574.011
d430bf85-b656-40e7-b238-42db01df0183,T1592.001
0d80d088-a84c-4353-af1a-fc8b439f1564,T1592.002
631d4cf1-42c9-4209-8fe9-6bd4de9421be,T1614.001
d91473ca-944e-477a-b484-0e80217cd789,T1614.001
0976990f-53b1-4d3f-a185-6df5be429d3b,T1615
